(0, 6):for 	 p.Purpose
(1767, 28):of 	 p.Org
(1767, 30):at 	 p.Org
(1767, 34):whose 	 p.Gestalt
(1767, 50):to 	 p.Recipient
(1768, 6):in 	 p.Manner
(1769, 5):to 	 p.Recipient
(1769, 6):like 	 p.Manner
(1769, 12):their 	 p.Experiencer
(1769, 23):in 	 p.Locus
(1769, 24):their 	 p.Theme
(1770, 3):to 	 p.Goal
(1771, 4):to 	 p.Goal
(1771, 6):on 	 p.Circumstance
(1772, 3):for 	 p.Org
(1772, 10):our 	 p.Agent
(1772, 12):into 	 p.Goal
(1772, 18):to 	 p.Purpose
(1772, 21):of 	 p.QuantityItem
(1772, 22):our 	 p.Possessor
(1773, 16):for 	 p.Frequency
(1774, 7):my 	 p.Beneficiary
(1774, 21):of 	 p.Whole
(1774, 22):my 	 p.Agent
(1775, 16):with 	 p.Characteristic
(1776, 1):From 	 p.StartTime
(1776, 2):my 	 p.Experiencer
(1776, 5):at 	 p.Time
(1776, 8):to 	 p.EndTime
(1776, 9):my 	 p.Agent
(1776, 21):my 	 p.Experiencer
(1777, 4):my 	 p.Agent
(1777, 12):with 	 p.Stimulus
(1777, 17):of 	 p.Gestalt
(1778, 5):in 	 p.Locus
(1778, 8):in 	 p.Time
(1778, 22):in 	 p.Topic
(1778, 23):my 	 p.Agent
(1778, 25):of 	 p.Topic
(1778, 31):my 	 p.Agent
(1779, 10):from 	 p.Source
(1780, 3):my 	 p.Originator
(1780, 5):to 	 p.Recipient
(1780, 10):for 	 p.Explanation
(1780, 11):their 	 p.Gestalt
(1780, 17):as 	 p.Explanation
(1781, 5):for 	 p.Purpose
(1782, 38):at 	 p.Stimulus
(1783, 7):to 	 p.Stimulus
(1783, 8):like 	 p.ComparisonRef
(1783, 12):about 	 p.Stimulus
(1783, 21):in 	 p.Topic
(1784, 9):of 	 p.Topic
(1785, 6):my 	 p.Whole
(1785, 13):into 	 p.Goal
(1785, 16):with 	 p.Org
(1786, 3):with 	 p.Characteristic
(1787, 1):My 	 p.Agent
(1788, 12):for 	 p.Purpose
(1789, 5):s 	 p.Beneficiary
(1789, 19):to 	 p.Goal
(1790, 13):with 	 p.Characteristic
(1791, 12):from 	 p.Source
(1791, 18):of 	 p.Gestalt
(1792, 13):like 	 p.ComparisonRef
(1792, 32):of 	 p.Species
(1792, 35):of 	 p.Species
(1793, 3):for 	 p.Purpose
(1794, 3):at 	 p.Locus
(1794, 11):for 	 p.Purpose
(1794, 13):on 	 p.Locus
(1794, 14):your 	 p.Possessor
(1795, 3):upon 	 p.Goal
(1795, 6):as 	 p.Explanation
(1796, 4):in 	 p.Locus
(1796, 12):by 	 p.Locus
(1797, 5):with 	 p.Theme
(1798, 1):It's 	 p.Gestalt
(1798, 13):to 	 p.Goal
(1798, 14):my 	 p.Possessor
(1799, 26):to 	 p.Goal
(1800, 13):on 	 p.Topic
(1801, 3):since 	 p.Time
(1801, 7):from 	 p.Originator
(1801, 15):from 	 p.Originator
(1801, 21):from 	 p.Originator
(1802, 8):my 	 p.Experiencer
(1803, 6):my 	 p.SocialRel
(1803, 18):of 	 p.QuantityItem
(1803, 27):to 	 p.Stimulus
(1803, 35):of 	 p.QuantityItem
(1803, 37):on 	 p.Topic
(1803, 41):my 	 p.Whole
(1804, 4):my 	 p.Whole
(1805, 6):with 	 p.Characteristic
(1806, 10):back 	 p.Direction
(1806, 11):for 	 p.Purpose
(1806, 12):my 	 p.Theme
(1807, 11):with 	 p.Topic
(1808, 1):My 	 p.SocialRel
(1808, 6):at 	 p.Locus
(1808, 13):our 	 p.Experiencer
(1809, 6):to 	 p.Goal
(1810, 8):of 	 p.Identity
(1810, 15):on 	 p.Theme
(1810, 16):my 	 p.Possessor
(1811, 8):for 	 p.Theme
(1812, 4):into 	 p.Goal
(1812, 16):for 	 p.Purpose
(1812, 36):in 	 p.Locus
(1812, 37):my 	 p.Possessor
(1813, 3):for 	 p.Theme
(1813, 4):your 	 p.Possessor
(1814, 3):for 	 p.Theme
(1814, 4):your 	 p.Possessor
(1815, 5):for 	 p.ComparisonRef
(1815, 6):their 	 p.Agent
(1816, 12):for 	 p.Beneficiary
(1816, 26):on 	 p.Topic
(1817, 1):On 	 p.Circumstance
(1817, 15):of 	 p.QuantityItem
(1817, 17):over 	 p.Approximator
(1817, 18):their 	 p.SocialRel
(1818, 12):at 	 p.Locus
(1818, 17):in 	 p.Locus
(1818, 25):in 	 p.Locus
(1819, 4):to 	 p.Recipient
(1819, 9):by 	 p.Agent
(1819, 17):about 	 p.Topic
(1819, 30):against 	 p.Beneficiary
(1819, 44):their 	 p.Originator
(1819, 53):to 	 p.Purpose
(1819, 55):their 	 p.OrgMember
(1819, 57):than 	 p.ComparisonRef
(1820, 5):before 	 p.Time
(1821, 6):of 	 p.Species
(1821, 8):to 	 p.Purpose
(1821, 10):from 	 p.Whole
(1821, 12):their 	 p.Possessor
(1822, 18):to 	 p.Purpose
(1822, 22):of 	 p.QuantityItem
(1822, 30):to 	 p.Goal
(1822, 34):to 	 p.Experiencer
(1823, 8):their 	 p.Gestalt
(1824, 2):my 	 p.Gestalt
(1824, 4):in 	 p.Topic
(1825, 6):from 	 p.Source
(1825, 8):to 	 p.Goal
(1825, 13):my 	 p.Possessor
(1826, 6):of 	 p.Identity
(1826, 8):my 	 p.Possessor
(1826, 13):of 	 p.Topic
(1827, 3):at 	 p.Org
(1827, 18):back 	 p.Direction
(1828, 6):about 	 p.Topic
(1829, 4):my 	 p.Gestalt
(1829, 6):in 	 p.Topic
(1830, 13):your 	 p.Possessor
(1831, 6):for 	 p.Duration
(1831, 10):with 	 p.Ancillary
(1831, 11):my 	 p.SocialRel
(1831, 17):for 	 p.Theme
(1832, 15):of 	 p.Identity
(1832, 18):with 	 p.Characteristic
(1833, 1):Since 	 p.Explanation
(1833, 10):their 	 p.Possessor
(1833, 19):our 	 p.Possessor
(1834, 5):in 	 p.Goal
(1834, 8):with 	 p.Characteristic
(1834, 12):under 	 p.Locus
(1835, 9):outside 	 p.Locus
(1835, 10):like 	 p.ComparisonRef
(1835, 13):inside 	 p.Locus
(1835, 14):our 	 p.Possessor
(1836, 6):at 	 p.Locus
(1836, 16):our 	 p.Possessor
(1837, 16):for 	 p.Beneficiary
(1837, 17):my 	 p.Possessor
(1838, 8):for 	 p.Stimulus
(1839, 6):in 	 p.Topic
(1839, 11):your 	 p.Possessor
(1840, 3):my 	 p.Possessor
(1840, 5):in 	 p.Direction
(1840, 6):for 	 p.Purpose
(1841, 6):for 	 p.Identity
(1841, 16):my 	 p.Possessor
(1842, 7):my 	 p.Possessor
(1842, 9):down 	 p.Path
(1843, 6):of 	 p.Stimulus
(1843, 21):for 	 p.Beneficiary
(1844, 6):on 	 p.Theme
(1844, 7):my 	 p.Possessor
(1844, 9):at 	 p.Locus
(1845, 7):around 	 p.Locus
(1846, 6):about 	 p.Topic
(1847, 16):before 	 p.Time
(1848, 6):than 	 p.ComparisonRef
(1848, 15):to 	 p.ComparisonRef
(1848, 30):in 	 p.Direction
(1848, 31):to 	 p.Purpose
(1849, 5):after 	 p.Time
(1849, 13):to 	 p.Purpose
(1849, 16):my 	 p.Possessor
(1849, 21):to 	 p.Purpose
(1849, 31):for 	 p.Theme
(1849, 33):of 	 p.Whole
(1849, 43):for 	 p.Cost
(1850, 4):in 	 p.Locus
(1850, 13):your 	 p.SocialRel
(1850, 19):about 	 p.Stimulus
(1850, 24):since 	 p.StartTime
(1850, 41):around 	 p.Locus
(1851, 3):my 	 p.SocialRel
(1852, 12):on 	 p.Topic
(1853, 11):to 	 p.Purpose
(1854, 9):until 	 p.EndTime
(1855, 13):in 	 p.Direction
(1855, 15):from 	 p.Source
(1855, 18):out 	 p.Locus
(1855, 27):as 	 p.Explanation
(1855, 33):in 	 p.Direction
(1855, 34):from 	 p.Source
(1855, 37):out 	 p.Locus
(1856, 13):to 	 p.Goal
(1856, 19):for 	 p.Purpose
(1857, 4):to 	 p.Locus
(1857, 7):for 	 p.Direction
(1858, 4):our 	 p.Agent
(1858, 10):at 	 p.Locus
